t, posRWr_ref, posRWr, posRWtheta_ref, posRWtheta
0.000000, 0.433013, 0.433013, 2.094395, 2.094395
0.001500, 0.433013, 0.433013, 2.094395, 2.094375
0.003000, 0.433013, 0.433010, 2.094395, 2.094314
0.004500, 0.433013, 0.433002, 2.094395, 2.094216
0.006000, 0.433013, 0.432989, 2.094395, 2.094078
0.007500, 0.433013, 0.432973, 2.094395, 2.093902
0.009000, 0.433013, 0.432953, 2.094395, 2.093691
0.010500, 0.433013, 0.432929, 2.094395, 2.093444
0.012000, 0.433013, 0.432901, 2.094395, 2.093163
0.013500, 0.433013, 0.432870, 2.094395, 2.092847
0.015000, 0.433013, 0.432834, 2.094395, 2.092497
0.016500, 0.433013, 0.432795, 2.094395, 2.092112
0.018000, 0.433013, 0.432752, 2.094395, 2.091695
0.019500, 0.433013, 0.432704, 2.094395, 2.091244
0.021000, 0.433013, 0.432654, 2.094395, 2.090761
0.022500, 0.433013, 0.432599, 2.094395, 2.090245
0.024000, 0.433013, 0.432540, 2.094395, 2.089698
0.025500, 0.433013, 0.432478, 2.094395, 2.089118
0.027000, 0.433013, 0.432411, 2.094395, 2.088508
0.028500, 0.433013, 0.432341, 2.094395, 2.087867
0.030000, 0.433013, 0.432267, 2.094395, 2.087195
0.031500, 0.433013, 0.432190, 2.094395, 2.086493
0.033000, 0.433013, 0.432108, 2.094395, 2.085762
0.034500, 0.433013, 0.432023, 2.094395, 2.085001
0.036000, 0.433013, 0.431934, 2.094395, 2.084211
0.037500, 0.433013, 0.431841, 2.094395, 2.083393
0.039000, 0.433013, 0.431744, 2.094395, 2.082546
0.040500, 0.433013, 0.431643, 2.094395, 2.081672
0.042000, 0.433013, 0.431539, 2.094395, 2.080770
0.043500, 0.433013, 0.431431, 2.094395, 2.079840
0.045000, 0.433013, 0.431319, 2.094395, 2.078884
0.046500, 0.433013, 0.431204, 2.094395, 2.077901
0.048000, 0.433013, 0.431084, 2.094395, 2.076893
0.049500, 0.433013, 0.430961, 2.094395, 2.075858
0.051000, 0.433013, 0.430835, 2.094395, 2.074798
0.052500, 0.433013, 0.430704, 2.094395, 2.073713
0.054000, 0.433013, 0.430570, 2.094395, 2.072603
0.055500, 0.433013, 0.430432, 2.094395, 2.071469
0.057000, 0.433013, 0.430291, 2.094395, 2.070311
0.058500, 0.433013, 0.430146, 2.094395, 2.069129
0.060000, 0.433013, 0.429997, 2.094395, 2.067923
0.061500, 0.433013, 0.429844, 2.094395, 2.066694
0.063000, 0.433013, 0.429688, 2.094395, 2.065443
0.064500, 0.433013, 0.429528, 2.094395, 2.064169
0.066000, 0.433013, 0.429365, 2.094395, 2.062873
0.067500, 0.433013, 0.429198, 2.094395, 2.061555
0.069000, 0.433013, 0.429028, 2.094395, 2.060216
0.070500, 0.433013, 0.428853, 2.094395, 2.058855
0.072000, 0.433013, 0.428676, 2.094395, 2.057474
